mumps default (166.936731064, 164.83, 2.1100000000000003) 0.012578074427799719 0.015983420494597146 0.00545442010123175 0.007445566370975365

bicgstab amg (8.091572489, 7.930000000000001, 0.16) 0.012574715665520939 0.01598298595733408 0.005451001923843872 0.007443892755390938
bicgstab hypre_amg (7.970402740000001, 7.82, 0.15000000000000002) 0.012574715665520939 0.01598298595733408 0.005451001923843872 0.007443892755390938
bicgstab hypre_euclid (7.9442556810000005, 7.840000000000001, 0.1) 0.012574715665520939 0.01598298595733408 0.005451001923843872 0.007443892755390938
bicgstab hypre_parasails (7.9772739370000005, 7.790000000000001, 0.2) 0.012574715665520939 0.01598298595733408 0.005451001923843872 0.007443892755390938
cg amg (7.610194257000001, 7.44, 0.16) 0.01258015003836566 0.01598344962536285 0.005454314920262169 0.007443540054184755
cg hypre_amg (7.615849377000001, 7.460000000000001, 0.16) 0.01258015003836566 0.01598344962536285 0.005454314920262169 0.007443540054184755
cg hypre_euclid (7.9676351290000005, 7.790000000000001, 0.18000000000000002) 0.01258015003836566 0.01598344962536285 0.005454314920262169 0.007443540054184755
cg hypre_parasails (8.017398188000001, 7.880000000000001, 0.13) 0.01258015003836566 0.01598344962536285 0.005454314920262169 0.007443540054184755
gmres amg (7.950650265, 7.840000000000001, 0.11) 0.012577081623455041 0.015982945406746992 0.005454166715355543 0.007445245999079068
gmres hypre_amg (7.836823677000001, 7.800000000000001, 0.04) 0.012577081623455041 0.015982945406746992 0.005454166715355543 0.007445245999079068
gmres hypre_euclid (7.804909855000001, 7.790000000000001, 0.01) 0.012577081623455041 0.015982945406746992 0.005454166715355543 0.007445245999079068
gmres hypre_parasails (7.868334753, 7.87, 0.0) 0.012577081623455041 0.015982945406746992 0.005454166715355543 0.007445245999079068
minres amg (8.007453919000001, 8.0, 0.01) 0.0125784701840491 0.0159834867964083 0.005454345235046947 0.007445482355757094
minres hypre_amg (7.9197174630000005, 7.91, 0.01) 0.0125784701840491 0.0159834867964083 0.005454345235046947 0.007445482355757094
minres hypre_euclid (7.946289040000001, 7.94, 0.01) 0.0125784701840491 0.0159834867964083 0.005454345235046947 0.007445482355757094
minres hypre_parasails (7.844661155000001, 7.840000000000001, 0.0) 0.0125784701840491 0.0159834867964083 0.005454345235046947 0.007445482355757094
tfqmr amg (8.759385492, 8.71, 0.05) 0.012578986146136235 0.015983248394111707 0.005454486289806036 0.007445884804935133
tfqmr hypre_amg (8.767412310000001, 8.75, 0.01) 0.012578986146136235 0.015983248394111707 0.005454486289806036 0.007445884804935133
tfqmr hypre_euclid (8.846255251, 8.76, 0.09000000000000001) 0.012578986146136235 0.015983248394111707 0.005454486289806036 0.007445884804935133
tfqmr hypre_parasails (8.711635713, 8.610000000000001, 0.1) 0.012578986146136235 0.015983248394111707 0.005454486289806036 0.007445884804935133


bicgstab amg (1.9060461970000002, 1.85, 0.060000000000000005) 0.021294706364315616 0.02394611754567386 0.00813198639602862 0.012218164071367724
bicgstab hypre_amg (1.8977484130000002, 1.85, 0.05) 0.021294706364315616 0.02394611754567386 0.00813198639602862 0.012218164071367724
bicgstab hypre_euclid (1.8660370110000002, 1.83, 0.030000000000000002) 0.021294706364315616 0.02394611754567386 0.00813198639602862 0.012218164071367724
bicgstab hypre_parasails (1.882276174, 1.84, 0.05) 0.021294706364315616 0.02394611754567386 0.00813198639602862 0.012218164071367724
cg amg (1.751795302, 1.75, 0.0) 0.021289279095164034 0.02394631993159976 0.00813121615103955 0.012220501552507982
cg hypre_amg (1.7584386630000002, 1.75, 0.0) 0.021289279095164034 0.02394631993159976 0.00813121615103955 0.012220501552507982
cg hypre_euclid (1.751585597, 1.75, 0.0) 0.021289279095164034 0.02394631993159976 0.00813121615103955 0.012220501552507982
cg hypre_parasails (1.759345954, 1.7400000000000002, 0.02) 0.021289279095164034 0.02394631993159976 0.00813121615103955 0.012220501552507982
gmres amg (1.778777298, 1.77, 0.0) 0.02128922838018738 0.02394573875299588 0.008130526152270334 0.012218997952826232
gmres hypre_amg (1.7593806390000002, 1.76, 0.0) 0.02128922838018738 0.02394573875299588 0.008130526152270334 0.012218997952826232
gmres hypre_euclid (1.7597841490000001, 1.76, 0.0) 0.02128922838018738 0.02394573875299588 0.008130526152270334 0.012218997952826232
gmres hypre_parasails (1.772190383, 1.77, 0.01) 0.02128922838018738 0.02394573875299588 0.008130526152270334 0.012218997952826232
minres amg (1.8094116420000002, 1.81, 0.0) 0.021289602993064875 0.023945553784541832 0.008130996591709965 0.012218366767442665
minres hypre_amg (1.801411743, 1.79, 0.0) 0.021289602993064875 0.023945553784541832 0.008130996591709965 0.012218366767442665
minres hypre_euclid (1.7970017450000002, 1.8, 0.0) 0.021289602993064875 0.023945553784541832 0.008130996591709965 0.012218366767442665
minres hypre_parasails (1.8133976490000001, 1.81, 0.0) 0.021289602993064875 0.023945553784541832 0.008130996591709965 0.012218366767442665
tfqmr amg (1.8798177290000002, 1.8800000000000001, 0.0) 0.021289474582860006 0.023945065382541663 0.00812949558357108 0.012217249490698558
tfqmr hypre_amg (1.9035660090000002, 1.9000000000000001, 0.0) 0.021289474582860006 0.023945065382541663 0.00812949558357108 0.012217249490698558
tfqmr hypre_euclid (1.8981388440000002, 1.9000000000000001, 0.0) 0.021289474582860006 0.023945065382541663 0.00812949558357108 0.012217249490698558
tfqmr hypre_parasails (1.9060069620000002, 1.9100000000000001, 0.0) 0.021289474582860006 0.023945065382541663 0.00812949558357108 0.012217249490698558


bicgstab default (3.5701718390000003, 3.5500000000000003, 0.02) 0.021286005819050807 0.023946137998938778 0.008122950666703571 0.012213904146246233
bicgstab icc (3.569508664, 3.54, 0.02) 0.021293619179566715 0.02394625494376601 0.008133057386803163 0.012219657889393927
bicgstab ilu (3.704764513, 3.6900000000000004, 0.02) 0.021286005819050807 0.023946137998938778 0.008122950666703571 0.012213904146246233
bicgstab jacobi (5.755867651, 5.74, 0.01) 0.02130092411798056 0.023945316653840573 0.008132458186201159 0.012215333416086518
bicgstab none (4.002074408, 4.0, 0.0) error
bicgstab petsc_amg (3.781034092, 3.7600000000000002, 0.02) 0.0931584005128548 0.09720729306434879 0.008130520634378493 0.012217659642494145
bicgstab sor (4.752242001, 4.75, 0.0) 0.02129662500886353 0.023947243447185983 0.008129491781904958 0.01221872705605216
cg default (2.92150079, 2.93, 0.0) 0.02128966921612419 0.023945624644827752 0.008130927775319095 0.012217875526645645
cg icc (2.9295257460000004, 2.93, 0.01) 0.021289677980195917 0.02394562781110999 0.008130927832126595 0.012217850702932286
cg ilu (2.850470252, 2.83, 0.01) 0.02128966921612419 0.023945624644827752 0.008130927775319095 0.012217875526645645
cg jacobi (4.694747265, 4.7, 0.0) 0.021289662004635404 0.023942521463377813 0.008130973318245392 0.012218615352059165
cg none (9.007251266, 9.0, 0.0) 0.02128964292373203 0.02394546680795054 0.008130905220590373 0.012217998456736547
cg petsc_amg (0.879706198, 0.88, 0.0) error
cg sor (3.6174160260000003, 3.6, 0.02) 0.02128963140429666 0.02394550037016243 0.008130906352330535 0.01221807607346559
default amg (4.473787361, 4.33, 0.15000000000000002) error
default default (5.582271319, 5.3500000000000005, 0.23) 0.021289661865079985 0.023945586922520523 0.00813089634680806 0.012218063358993118
default hypre_amg (4.480620796, 4.37, 0.11) error
default hypre_euclid (4.431697662, 4.34, 0.09000000000000001) error
default hypre_parasails (4.474029059, 4.36, 0.12000000000000001) error
default icc (4.48021548, 4.34, 0.13) error
default ilu (4.4871423020000005, 4.36, 0.13) error
default jacobi (4.481281854000001, 4.37, 0.11) error
default none (5.6034683, 5.45, 0.16) 0.021289661865079985 0.023945586922520523 0.00813089634680806 0.012218063358993118
default petsc_amg (4.487186697, 4.37, 0.11) error
default sor (4.482236454000001, 4.38, 0.11) error
gmres default (10.26111552, 10.26, 0.0) 0.021211255607779943 0.023943010066393478 0.00811654304962796 0.012210155436684546
gmres icc (10.381599209, 10.38, 0.0) 0.02127469305652515 0.023945195268298355 0.008117695361937417 0.012211527819108515
gmres ilu (10.062660152000001, 10.06, 0.01) 0.021211255607779943 0.023943010066393478 0.00811654304962796 0.012210155436684546
gmres jacobi (15.582692617000001, 15.580000000000002, 0.0) error
gmres none (15.201306404, 15.200000000000001, 0.0) error
gmres petsc_amg (3.4022047730000002, 3.4000000000000004, 0.0) 0.09315944780358457 0.09721244635235786 0.0081327418469272 0.012218787988399097
gmres sor (16.159266104, 16.16, 0.0) 0.021279958867550432 0.023943717445539414 0.008125301265822546 0.01221724720031621
minres default (2.966118884, 2.97, 0.0) 0.021297160694513956 0.023946518274448277 0.0081316183281875 0.012217566450278562
minres icc (3.1172927930000003, 3.12, 0.0) 0.021320990244610368 0.023947364775989834 0.008131618258137603 0.012217566385730325
minres ilu (2.926740847, 2.9200000000000004, 0.01) 0.021297160694513956 0.023946518274448277 0.0081316183281875 0.012217566450278562
minres jacobi (5.117305770000001, 5.12, 0.0) 0.021310599465360507 0.023948324923794274 0.00813067055257348 0.012213834951471979
minres none (10.169920284, 10.16, 0.0) 0.021275535070010433 0.023948033920626666 0.008130726571441154 0.0122155345262048
minres petsc_amg (7.166869074, 7.170000000000001, 0.0) 0.09316465758003319 0.09721584505029283 0.008137468096139832 0.012220801069742514
minres sor (3.676587204, 3.68, 0.0) 0.021264727914808747 0.023942680746860703 0.008131151511936444 0.012218289763648242
richardson amg (2.2354647300000003, 2.23, 0.0) 0.021292332538625145 0.02394586493837583 0.008132693399896907 0.012218841645977781
richardson default (24.22780706, 24.23, 0.0) error
richardson hypre_amg (2.269659197, 2.27, 0.0) 0.021292332538625145 0.02394586493837583 0.008132693399896907 0.012218841645977781
richardson hypre_euclid (2.288773624, 2.29, 0.0) 0.021292332538625145 0.02394586493837583 0.008132693399896907 0.012218841645977781
richardson hypre_parasails (2.199549759, 2.2, 0.0) 0.021292332538625145 0.02394586493837583 0.008132693399896907 0.012218841645977781
richardson icc (14.063078442, 14.06, 0.0) error
richardson ilu (23.034740877, 23.03, 0.0) error
richardson jacobi (0.13243414, 0.13, 0.0) error
richardson none (0.10843785600000001, 0.11, 0.0) error
richardson petsc_amg (492.225253396, 492.19000000000005, 0.04) error
richardson sor (63.843073177, 63.84, 0.0) 0.06246163028771206 0.03785771768833987 0.06990089074111364 0.041190409567693834
tfqmr default (4.676724931, 4.680000000000001, 0.0) 0.02129009182036194 0.023945677109407232 0.008130919471459316 0.01221816821152753
tfqmr icc (3.841242153, 3.8400000000000003, 0.0) 0.02129128606782111 0.023945751696684874 0.008130825984147038 0.01221836632714878
tfqmr ilu (4.641046659000001, 4.640000000000001, 0.0) 0.02129009182036194 0.023945677109407232 0.008130919471459316 0.01221816821152753
tfqmr jacobi (8.159786614, 8.16, 0.0) 0.021290035630025957 0.023941722731084903 0.008130930028151169 0.01221818692532979
tfqmr none (20.803248886000002, 20.8, 0.0) error
tfqmr petsc_amg (4.027033963, 4.03, 0.0) 0.09315821801122257 0.09720964742266051 0.008130946249499565 0.012218174657171281
tfqmr sor (36.86111694, 36.86, 0.0) error
